node_id,node_text,cluster_id
22,"The goal is to satisfy the following conditions: b1 is on b2., b2 is on b3., b3 is on b4.",7
23,"The goal is to satisfy the following conditions: b1 is on b3., b3 is on b5.",8
24,"The goal is to satisfy the following conditions: b1 is on b2., b3 is on b5., b4 is on b1.",8
25,"The goal is to satisfy the following conditions: b3 is on b5., b4 is on b3.",8
26,"The goal is to satisfy the following conditions: b1 is on b6., b3 is on b5., b6 is on b2.",6
27,"The goal is to satisfy the following conditions: b1 is on b2., b2 is on b6., b3 is on b7., b5 is on b3., b6 is on b5., b7 is on b4.",6
28,"The goal is to satisfy the following conditions: ball1 is at roomb. , ball2 is at roomb. , ball3 is at roomb. , ball4 is at roomb. ",9
29,"The goal is to satisfy the following conditions: ball1 is at roomb. , ball2 is at roomb. , ball3 is at roomb. , ball4 is at roomb. , ball5 is at roomb. , ball6 is at roomb. ",10
30,"The goal is to satisfy the following conditions: ball1 is at roomb. , ball2 is at roomb. , ball3 is at roomb. , ball4 is at roomb. , ball5 is at roomb. , ball6 is at roomb. , ball7 is at roomb. , ball8 is at roomb. ",10
31,"The goal is to satisfy the following conditions: ball1 is at roomb. , ball10 is at roomb. , ball2 is at roomb. , ball3 is at roomb. , ball4 is at roomb. , ball5 is at roomb. , ball6 is at roomb. , ball7 is at roomb. , ball8 is at roomb. , ball9 is at roomb. ",11
32,"The goal is to satisfy the following conditions: ball1 is at roomb. , ball10 is at roomb. , ball11 is at roomb. , ball12 is at roomb. , ball2 is at roomb. , ball3 is at roomb. , ball4 is at roomb. , ball5 is at roomb. , ball6 is at roomb. , ball7 is at roomb. , ball8 is at roomb. , ball9 is at roomb. ",12
33,"The goal is to satisfy the following conditions: ball1 is at roomb. , ball2 is at roomb. , ball3 is at rooma. , ball4 is at rooma. ",9
34,"The goal is to satisfy the following conditions: ball1 is at roomb. , ball2 is at rooma. , ball3 is at roomb. , ball4 is at roomb. , ball5 is at rooma. , ball6 is at rooma. ",10
35,"The goal is to satisfy the following conditions: ball1 is at rooma. , ball2 is at rooma. , ball3 is at roomb. , ball4 is at roomb. , ball5 is at rooma. , ball6 is at rooma. ",10
36,"The goal is to satisfy the following conditions: ball1 is at rooma. , ball10 is at rooma. , ball2 is at rooma. , ball3 is at rooma. , ball4 is at roomb. , ball5 is at roomb. , ball6 is at roomb. , ball7 is at roomb. , ball8 is at roomb. , ball9 is at rooma. ",11
37,"The goal is to satisfy the following conditions: ball1 is at rooma. , ball10 is at roomb. , ball2 is at roomb. , ball3 is at roomb. , ball4 is at roomb. , ball5 is at roomb. , ball6 is at roomb. , ball7 is at roomb. , ball8 is at roomb. , ball9 is at roomb. ",11
38,"The goal is to satisfy the following conditions: ball1 is at rooma. , ball10 is at rooma. , ball2 is at rooma. , ball3 is at rooma. , ball4 is at rooma. , ball5 is at rooma. , ball6 is at rooma. , ball7 is at rooma. , ball8 is at rooma. , ball9 is at rooma. ",11
39,"The goal is to satisfy the following conditions: ball1 is at roomb. , ball2 is at roomb. , ball3 is at roomb. , ball4 is at rooma. ",9
40,"The goal is to satisfy the following conditions: ball1 is at roomb. , ball2 is at rooma. , ball3 is at rooma. , ball4 is at rooma. ",9
41,"The goal is to satisfy the following conditions: ball1 is at roomb. , ball10 is at roomb. , ball11 is at roomb. , ball12 is at roomb. , ball2 is at roomb. , ball3 is at roomb. , ball4 is at rooma. , ball5 is at roomb. , ball6 is at roomb. , ball7 is at roomb. , ball8 is at roomb. , ball9 is at roomb. ",12
42,"The goal is to satisfy the following conditions: ball1 is at roomb. , ball10 is at roomb. , ball11 is at roomb. , ball12 is at roomb. , ball2 is at roomb. , ball3 is at roomb. , ball4 is at roomb. , ball5 is at roomb. , ball6 is at roomb. , ball7 is at roomb. , ball8 is at rooma. , ball9 is at rooma. ",12
43,"The goal is to satisfy the following conditions: ball1 is at roomb. , ball2 is at rooma. , ball3 is at roomb. , ball4 is at rooma. , ball5 is at roomb. , ball6 is at rooma. ",10
44,"The goal is to satisfy the following conditions: ball1 is at rooma. , ball10 is at roomb. , ball11 is at rooma. , ball12 is at roomb. , ball2 is at roomb. , ball3 is at rooma. , ball4 is at roomb. , ball5 is at rooma. , ball6 is at roomb. , ball7 is at rooma. , ball8 is at roomb. , ball9 is at rooma. ",12
45,"The goal is to satisfy the following conditions: Wheel r1 is inflated., r1 is on the-hub1., w1 is in boot.",13
46,"The goal is to satisfy the following conditions: Wheel r1 is inflated., Wheel r2 is inflated., r1 is on the-hub1., r2 is on the-hub2., w1 is in boot., w2 is in boot.",13
47,"The goal is to satisfy the following conditions: Wheel r1 is inflated., Wheel r2 is inflated., Wheel r3 is inflated., r1 is on the-hub1., r2 is on the-hub2., r3 is on the-hub3., w1 is in boot., w2 is in boot., w3 is in boot.",13
48,"The goal is to satisfy the following conditions: Wheel r1 is inflated., Wheel r2 is inflated., Wheel r3 is inflated., Wheel r4 is inflated., r1 is on the-hub1., r2 is on the-hub2., r3 is on the-hub3., r4 is on the-hub4., w1 is in boot., w2 is in boot., w3 is in boot., w4 is in boot.",13
49,"The goal is to satisfy the following conditions: r1 is on the-hub1., w1 is in boot.",13
50,"The goal is to satisfy the following conditions: Wheel r1 is inflated., Wheel r2 is inflated., Wheel r3 is inflated.",13
51,"The goal is to satisfy the following conditions: Wheel r3 is inflated., w1 is in boot., w2 is in boot.",13
52,"The goal is to satisfy the following conditions: w1 is in boot., w2 is in boot.",14
53,"The goal is to satisfy the following conditions: w3 is in boot., w4 is in boot.",14
54,"The goal is to satisfy the following conditions: Wheel r1 is inflated., Wheel r2 is inflated., Wheel r3 is inflated., r3 is on the-hub3., w3 is in boot.",13
